attendance_percentage,test_average,assignment_average,submission_delay_count,performance_trend,risk_level
65.1,61.7,61.4,4,Stable,MEDIUM
78.7,37.4,65.9,10,Declining,HIGH
72.1,52.3,97.6,1,Stable,MEDIUM
94.1,41.2,82.9,0,Stable,MEDIUM
80.4,52.2,55.5,10,Declining,HIGH
64.2,65.1,87.2,6,Declining,HIGH
56.5,71.6,73.4,1,Declining,HIGH
84.1,87.1,80.0,1,Declining,LOW
62.4,61.3,52.7,9,Declining,HIGH
71.6,83.7,67.8,1,Declining,MEDIUM
94.0,90.9,57.8,1,Stable,MEDIUM
60.5,85.0,42.0,7,Declining,HIGH
66.6,51.0,40.6,11,Declining,HIGH
94.8,64.8,47.2,10,Declining,HIGH
72.9,58.9,59.9,10,Declining,HIGH
79.2,75.6,75.1,0,Stable,MEDIUM
57.3,84.3,56.6,9,Stable,HIGH
77.4,61.0,79.4,11,Declining,HIGH
85.1,89.4,93.4,0,Stable,LOW
76.5,66.0,67.7,2,Declining,MEDIUM
95.5,51.0,64.7,8,Declining,HIGH
80.0,40.2,97.7,1,Declining,MEDIUM
72.0,75.0,83.2,9,Declining,HIGH
93.2,71.2,66.8,9,Declining,HIGH
84.9,82.3,42.4,3,Stable,MEDIUM
61.2,44.9,68.8,5,Stable,HIGH
84.8,38.7,96.9,6,Declining,HIGH
57.8,38.6,56.1,8,Improving,HIGH
82.0,39.2,45.4,9,Declining,HIGH
79.8,90.6,57.9,4,Declining,MEDIUM
94.2,67.8,59.0,3,Stable,MEDIUM
88.7,87.0,66.4,12,Stable,HIGH
72.0,75.0,52.5,4,Declining,MEDIUM
98.6,63.5,56.9,3,Improving,MEDIUM
55.5,73.4,96.6,7,Declining,HIGH
72.4,61.6,60.3,11,Declining,HIGH
79.6,64.7,66.0,8,Declining,HIGH
75.1,37.8,76.2,10,Stable,HIGH
67.7,77.5,62.8,5,Stable,MEDIUM
69.4,45.4,43.7,5,Declining,MEDIUM
70.4,42.9,64.6,5,Stable,MEDIUM
88.7,93.5,87.4,1,Stable,LOW
98.4,94.0,75.1,8,Declining,HIGH
69.3,77.4,78.9,7,Stable,HIGH
82.7,57.4,69.6,7,Improving,HIGH
88.6,76.2,68.7,3,Improving,MEDIUM
86.7,69.5,68.3,10,Declining,HIGH
82.8,75.1,44.4,11,Declining,HIGH
87.1,79.3,79.3,1,Declining,LOW
80.0,35.1,66.5,6,Declining,HIGH
89.4,39.8,90.6,9,Declining,HIGH
76.3,87.7,77.5,10,Stable,HIGH
92.2,40.8,97.7,3,Improving,MEDIUM
97.9,38.2,85.2,6,Stable,HIGH
98.4,48.6,76.6,1,Improving,MEDIUM
97.3,73.5,90.6,3,Improving,MEDIUM
84.7,44.9,91.3,8,Stable,HIGH
81.2,88.7,94.4,5,Improving,MEDIUM
83.8,62.9,83.4,3,Stable,MEDIUM
86.8,74.2,63.4,4,Stable,MEDIUM
70.7,89.7,49.5,1,Declining,MEDIUM
81.9,82.6,52.2,1,Stable,MEDIUM
64.1,66.1,56.3,3,Declining,HIGH
69.9,63.0,45.8,12,Improving,HIGH
78.0,81.2,73.0,11,Improving,HIGH
71.7,53.6,84.6,0,Stable,MEDIUM
89.0,63.1,43.0,12,Stable,HIGH
59.4,41.4,88.4,1,Declining,HIGH
68.8,61.1,87.9,2,Declining,MEDIUM
56.7,93.5,75.7,1,Stable,HIGH
97.0,37.9,48.1,7,Declining,HIGH
97.6,71.1,53.1,0,Declining,MEDIUM
78.3,35.5,64.0,8,Declining,HIGH
82.0,56.0,85.8,7,Declining,HIGH
65.6,67.3,60.7,11,Stable,HIGH
76.7,79.3,56.2,6,Declining,HIGH
59.7,59.7,85.1,6,Declining,HIGH
88.0,54.4,88.7,10,Declining,HIGH
84.6,87.4,91.6,9,Declining,HIGH
72.6,88.2,83.1,6,Stable,HIGH
62.4,78.4,95.7,3,Stable,HIGH
59.8,51.1,58.6,6,Stable,HIGH
87.7,47.9,94.5,4,Declining,MEDIUM
88.7,45.9,84.9,4,Declining,MEDIUM
57.4,93.0,79.1,6,Improving,HIGH
95.2,58.8,86.6,6,Stable,HIGH
60.3,76.9,83.2,10,Declining,HIGH
94.8,69.2,55.3,3,Stable,MEDIUM
60.4,79.9,42.8,7,Declining,HIGH
72.3,44.8,92.3,2,Improving,MEDIUM
56.1,42.1,82.2,6,Declining,HIGH
77.9,81.5,68.6,1,Improving,MEDIUM
64.6,58.3,94.1,11,Declining,HIGH
95.2,43.2,65.5,12,Improving,HIGH
67.4,75.8,40.9,8,Declining,HIGH
58.2,66.1,84.7,1,Declining,HIGH
73.0,94.5,77.2,4,Declining,MEDIUM
82.1,55.6,67.5,3,Stable,MEDIUM
75.3,86.1,44.2,11,Declining,HIGH
82.8,52.7,73.4,5,Declining,MEDIUM
83.8,36.6,56.5,3,Declining,HIGH
61.3,41.5,84.4,8,Declining,HIGH
58.9,61.6,41.8,3,Improving,HIGH
65.5,72.9,73.7,8,Stable,HIGH
73.9,63.3,56.7,0,Improving,MEDIUM
89.1,45.1,65.4,4,Declining,MEDIUM
62.0,95.3,60.2,1,Improving,HIGH
72.1,57.6,60.6,4,Stable,MEDIUM
91.3,81.0,72.2,6,Improving,HIGH
58.5,53.5,77.7,5,Declining,HIGH
81.0,79.4,42.7,3,Improving,MEDIUM
89.8,97.1,91.3,1,Improving,LOW
72.1,63.6,90.0,2,Declining,MEDIUM
71.7,48.2,56.0,1,Declining,MEDIUM
82.4,45.8,83.7,2,Declining,MEDIUM
75.8,52.0,95.5,8,Declining,HIGH
64.9,55.4,86.1,0,Declining,HIGH
65.3,37.0,58.9,4,Declining,HIGH
58.0,92.5,74.0,5,Improving,HIGH
64.6,66.5,93.1,7,Declining,HIGH
61.4,43.8,84.7,8,Declining,HIGH
66.8,71.8,93.9,6,Declining,HIGH
71.3,97.8,48.3,7,Improving,HIGH
59.1,38.0,46.6,2,Declining,HIGH
90.6,61.6,43.8,6,Improving,HIGH
81.8,64.5,55.1,8,Improving,HIGH
93.7,35.7,83.2,8,Declining,HIGH
88.8,83.4,60.4,4,Improving,MEDIUM
74.6,63.6,97.2,4,Declining,MEDIUM
98.7,83.0,70.5,1,Improving,LOW
94.2,53.8,78.3,9,Declining,HIGH
64.0,58.6,49.7,8,Improving,HIGH
96.3,72.7,69.3,1,Stable,LOW
96.8,90.4,89.9,4,Stable,MEDIUM
65.8,50.2,74.0,1,Declining,MEDIUM
58.9,65.6,44.2,8,Improving,HIGH
89.5,43.1,68.5,8,Declining,HIGH
62.4,68.2,76.4,3,Declining,HIGH
96.8,82.6,81.4,4,Stable,MEDIUM
73.0,77.3,62.4,8,Improving,HIGH
75.3,50.6,43.8,0,Improving,MEDIUM
81.5,49.5,53.2,1,Stable,MEDIUM
86.9,38.7,44.0,0,Declining,HIGH
93.7,39.5,54.3,7,Declining,HIGH
64.6,43.3,96.1,9,Declining,HIGH
80.9,50.3,68.4,6,Declining,HIGH
63.6,41.1,65.9,6,Declining,HIGH
73.5,89.4,43.3,1,Improving,MEDIUM
57.7,80.9,88.0,1,Declining,HIGH
66.2,47.0,66.9,6,Declining,HIGH
95.0,42.0,83.8,0,Improving,MEDIUM
61.0,77.6,92.6,0,Stable,HIGH
56.0,40.9,53.7,3,Stable,HIGH
100.0,75.9,72.2,0,Stable,LOW
55.0,82.8,49.4,1,Improving,HIGH
68.0,95.3,59.9,0,Improving,MEDIUM
77.0,73.0,87.6,4,Stable,MEDIUM
79.0,40.0,57.3,3,Declining,MEDIUM
78.0,71.4,81.6,0,Improving,MEDIUM
73.0,97.1,90.5,5,Stable,MEDIUM
84.0,75.0,61.5,1,Improving,LOW
72.0,79.2,80.3,0,Stable,MEDIUM
89.0,80.9,49.6,1,Declining,MEDIUM
95.0,78.4,53.0,1,Declining,MEDIUM
58.0,49.4,41.9,1,Improving,HIGH
68.0,92.5,73.5,3,Improving,MEDIUM
86.0,59.9,94.0,2,Improving,MEDIUM
70.0,81.9,71.8,4,Stable,MEDIUM
92.0,60.2,52.9,8,Stable,HIGH
60.0,82.6,90.8,0,Improving,HIGH
98.0,61.6,43.7,1,Declining,MEDIUM
88.0,50.8,72.6,6,Stable,HIGH
62.0,77.9,71.7,1,Stable,HIGH
62.0,53.5,49.3,0,Stable,HIGH
71.0,96.2,85.0,2,Improving,MEDIUM
95.0,53.8,77.7,3,Improving,MEDIUM
65.0,69.0,85.9,2,Improving,MEDIUM
75.0,65.8,46.6,1,Declining,MEDIUM
74.0,50.1,54.2,2,Improving,MEDIUM
86.0,86.4,97.7,2,Improving,LOW
97.0,64.9,72.4,1,Declining,LOW
82.0,95.8,94.8,4,Stable,MEDIUM
100.0,54.6,98.7,3,Stable,MEDIUM
88.0,63.4,54.6,0,Improving,MEDIUM
90.0,49.5,53.0,0,Stable,MEDIUM
